Controller, gap
paid1,-71974565
paid2,-770491121
paid3,-2133400213
paid4,-2078186390
paid5,-328919257
paid6,798910262
paid7,-1793631580
paid8,-1485902490
paid9,-2145881077
paid10,-1477361736
paid11,3816663999
paid13,-133463993
paid14,-2147341207
paid15,-473237695
paid16,-502171478
paid17,-2147175181
paid18,-2099372235
paid19,-996489139
paid20,-1343686351
paid21,-1752420632
paid22,-2137843527
paid23,-1126845480
paid24,-705755939
paid25,3719551454
paid26,-2121947371
paid27,-2147472333
paid28,-2116785582
paid29,-10968525
paid30,-2147483616
paid31,-1757852865
paid32,-918669686
paid33,-1119446461
paid34,-2079407039
paid35,-1473357827
paid36,-321120115
paid37,-925628360
paid38,-1919677957
paid39,-1846864439
paid40,1241737349
paid41,474528141
paid42,-2037230972
paid43,-2017150791
paid44,-2147483646
paid45,-2035936297
paid46,-819063831
paid47,-1345480972
paid48,-2081463648
paid49,-2105767173
paid50,-2147483646
paid51,-1814568651
paid52,-2147483646
paid53,-1309677061
paid54,-1979247948
paid55,-2015160762
paid56,-2085253210
paid57,-1525766334
paid58,-2147483646
paid59,92957815
paid60,-1177931087
paid61,-2144979762
paid62,-2079325752
paid63,-2147483646
paid64,-320580315
paid65,-2144738414
paid66,-1729542197
paid67,-2132230453
paid68,-2111126091
paid69,-2094601332
paid70,-1674892538
paid71,-1379331623
paid72,-2000385379
paid73,3344463062
paid74,-2073572363
paid75,-1748762828
paid76,-2009489265
paid77,-329719661
paid78,-906147959
paid79,-1354729388
paid80,-2021774257
paid81,-1385622132
paid82,-2147483646
paid83,-1460077835
paid84,-1812551310
paid85,-1963623909
paid86,-1449984101
paid87,-1978687166
paid88,-656740612
paid89,-1856723586
paid90,-1736609268
paid91,-2147483646
paid92,-2068834568
paid93,-2058479847
paid94,-1462842070
paid95,-2116020891
paid96,-1609489054
paid97,-1212748661
paid98,-1708084631
paid99,-1895368967
paid100,514426815
paid101,-2143130134
paid102,242776173
paid103,-1685010414
paid104,-1990838816
paid105,-1980115978
paid106,-2127114595
paid107,-1968875025
paid108,-1444881360
paid109,-1349414868
paid110,-2040735857
paid111,-2128978470
paid112,-1827749694
paid113,-1530207987
paid114,-1768564209
paid115,-2147483646
paid116,-1825043146
paid117,-1999801325
paid118,-1732553950
paid119,-1756430495
paid120,-2069012048
paid121,-1044494769
paid122,-1591608342
paid123,-1457551481
paid124,-1888974198
paid125,-2147483646
paid126,-502339244
paid127,-1833106389
paid128,-2147483646
paid129,-1533835550
paid130,-1918063436
paid131,-2046892268
paid132,-1724064764
paid133,-2146083013
paid134,-2036361913
paid135,-1411013683
paid136,-2147483646
paid137,-1992630459
paid138,-1504895917
paid139,-2043730339
paid140,-1745365615
paid141,-2147483646
paid142,-2025292759
paid143,-1836006310
paid144,-1251096018
paid145,-1608857746
paid146,-2088928303
paid147,398149380
paid148,-2083103251
paid149,-2065250387
paid150,-1872310440
paid151,-402939629
paid152,-1695937871
paid153,-1788342466
paid154,-1570917121
paid155,-1786903230
paid156,1872727555
paid157,-1738473755
paid158,-2147483646
paid159,-2075162262
paid160,-1799027230
paid161,-542119119
paid162,-2083279550
paid163,-2145383472
paid164,-2070428437
paid165,-1642748197
paid166,-2125963139
paid167,-1139821438
paid168,2261896871
paid169,-2147254247
paid170,-2129037247
paid171,-2084516134
paid172,-2077885352
paid173,-2147483599
paid174,-2044026744
paid175,-2037714336
paid176,-1694855859
paid177,-1943995325
paid178,-2133752833
paid179,-1715802560
paid180,-543278311
paid181,-1802461754
paid182,-2119551324
paid183,-844950098
paid184,-2141144372
paid185,-1931115714
paid186,-2096819543
paid187,-804691173
paid188,-1467644018
paid189,-2146606158
paid190,-2137662614
paid191,-2139514107
paid192,-2139441215
paid193,-2109660738
paid194,-1671380681
paid195,-2105774322
paid197,-2003887758
paid198,-2103314019
paid200,-1871734782
paid201,-2143320233
paid202,-2147483646
paid203,-2147483646
paid204,-2141410127
paid205,-2075665907
paid206,-2147483646
paid207,-2133333791
paid208,-2143634643
paid209,-2123944146
paid212,-2147483646
paid213,-2146300549
paid214,-2128014965
paid215,-2147462083
paid216,-2146669571
paid217,-2025260640
paid218,-728510237
paid219,-2012070981
paid220,-2139624055
paid221,-78437143
paid222,3294066589
paid223,-414005983
paid224,-2145710647
paid225,-1155010586
paid226,-1536237466
paid227,-1017251237
paid228,-639646343
paid229,-2144805240
paid232,38504629
paid233,-2146964716
paid234,-2147349989
paid235,-2146832247
paid236,-2147471680
paid240,-2147283189
paid241,-2146538869
paid242,-2147480633
