Controller, total
paid1,1449883
paid2,5268336
paid3,7
paid4,323883
paid5,4536672
paid6,12413483
paid7,368925
paid8,1003049
paid9,26913
paid10,1241922
paid11,39928247
paid13,7182635
paid14,2742
paid15,1912547
paid16,4007631
paid17,28166
paid18,484780
paid19,1069415
paid21,1300816
paid22,16666
paid23,1343639
paid24,3010343
paid25,9812049
paid26,0
paid27,0
paid28,78006
paid29,7826038
paid30,616
paid31,1766016
paid32,2727113
paid33,5447728
paid34,271495
paid35,55154
paid36,6880536
paid37,26321
paid38,266150
paid39,537308
paid40,17767993
paid41,21925203
paid42,191140
paid43,1837890
paid44,0
paid45,936427
paid46,31067
paid47,2501595
paid48,361237
paid49,492154
paid50,0
paid51,1296042
paid52,0
paid53,1447492
paid54,239518
paid55,738096
paid56,111946
paid57,2816395
paid58,0
paid59,4340174
paid60,3004636
paid61,20462
paid62,159522
paid63,7170
paid64,8816819
paid65,0
paid66,3021780
paid67,129147
paid68,8875
paid69,285250
paid70,1018330
paid71,1960401
paid72,354686
paid73,10387450
paid74,257689
paid75,1823619
paid76,760315
paid77,14861520
paid78,3269677
paid79,1126707
paid80,307
paid81,3441130
paid82,0
paid83,1917329
paid84,1012496
paid85,185600
paid86,818957
paid87,423093
paid88,4788633
paid89,13756
paid90,1060214
paid91,0
paid92,543215
paid93,668944
paid94,2056775
paid95,312362
paid96,3529693
paid97,2721157
paid98,3040608
paid99,1875002
paid100,6743582
paid101,505610
paid102,14729061
paid103,1302266
paid104,1332306
paid105,160674
paid106,209067
paid108,2648193
paid109,5369417
paid110,69596
paid111,228242
paid112,1400333
paid113,1266193
paid114,993780
paid115,0
paid116,1160134
paid117,479075
paid118,948904
paid119,701102
paid120,790761
paid121,5032805
paid122,2700284
paid123,4126929
paid124,0
paid125,0
paid126,2869584
paid127,4325946
paid128,0
paid129,961132
paid130,1044052
paid131,297942
paid132,1897410
paid133,3448
paid134,2222995
paid135,1063295
paid136,0
paid137,2947175
paid138,3557674
paid139,730593
paid140,508267
paid141,0
paid142,457755
paid143,1374788
paid144,2977077
paid145,2363104
paid146,699268
paid147,2667630
paid148,207389
paid149,3528721
paid150,2542726
paid151,1855583
paid152,418100
paid153,138827
paid154,137925
paid155,1573631
paid156,15565427
paid157,1055734
paid158,0
paid159,459352
paid160,1813088
paid161,5565545
paid162,841597
paid163,189145
paid164,1069478
paid165,158381
paid166,239919
paid167,652831
paid168,11669225
paid169,38390
paid170,172101
paid171,492459
paid172,588136
paid173,0
paid174,3098917
paid175,1574568
paid176,6403198
paid177,1761907
paid178,351235
paid179,1570971
paid180,583774
paid181,2988286
paid182,880922
paid183,1153792
paid184,189927
paid185,1437969
paid186,341705
paid187,7199204
paid188,8373048
paid189,4561
paid190,140783
paid191,137171
paid192,1142611
paid193,607356
paid194,230421
paid195,933453
paid197,1264962
paid198,778518
paid200,3469199
paid201,180767
paid202,0
paid203,0
paid204,216655
paid205,810537
paid206,0
paid207,277978
paid208,407197
paid209,3230493
paid212,0
paid213,85960
paid214,455157
paid215,59
paid216,56204
paid217,2209475
paid218,7818342
paid219,2104877
paid220,343572
paid221,8307439
paid222,26737180
paid223,8818131
paid224,212812
paid225,3562252
paid226,8422615
paid227,4483121
paid228,7942476
paid229,742182
paid232,8282775
paid233,156082
paid234,12643
paid235,111813
paid236,3041
paid240,638
paid241,242714
paid242,1566
